+1.176251181E-004,-3.304751545E-003,+0,+0
+1.174758810E-004,-3.285604016E-003,+0,+0
+1.175368803E-004,-3.266763411E-003,+0,+0
+1.174646664E-004,-3.236837939E-003,+0,+0
+1.175255779E-004,-3.194472808E-003,+0,+0
+1.176600060E-004,-3.243560662E-003,+0,+0
+1.174447697E-004,-3.175891843E-003,+0,+0
+1.173638842E-004,-3.169549185E-003,+0,+0
+1.172867519E-004,-3.106962570E-003,+0,+0
+1.172864999E-004,-3.137392112E-003,+0,+0
+1.171775660E-004,-3.148923772E-003,+0,+0
+1.173066742E-004,-3.107228735E-003,+0,+0
+1.172785743E-004,-3.148040237E-003,+0,+0
+1.173034400E-004,-3.105741454E-003,+0,+0
+1.173045264E-004,-3.107728823E-003,+0,+0
+1.173673478E-004,-3.072511597E-003,+0,+0
+1.173332290E-004,-3.058050061E-003,+0,+0
+1.172666705E-004,-3.058858436E-003,+0,+0
+1.173034339E-004,-3.025832203E-003,+0,+0
+1.173119902E-004,-3.026198709E-003,+0,+0
+1.173051139E-004,-2.998702553E-003,+0,+0
+1.173906264E-004,-3.025599901E-003,+0,+0
+1.172942279E-004,-2.967948422E-003,+0,+0
+1.172888982E-004,-2.969485172E-003,+0,+0
+1.172834240E-004,-2.973525269E-003,+0,+0
+1.172850874E-004,-2.953028859E-003,+0,+0
+1.172804009E-004,-2.942658459E-003,+0,+0
+1.172522130E-004,-2.949536777E-003,+0,+0
+1.173240263E-004,-2.938395894E-003,+0,+0
+1.172497165E-004,-2.882999115E-003,+0,+0
+1.173084250E-004,-2.923154850E-003,+0,+0
+1.172966120E-004,-2.906779497E-003,+0,+0
+1.173038030E-004,-2.890599672E-003,+0,+0
+1.172777260E-004,-2.867124207E-003,+0,+0
+1.173242418E-004,-2.927317113E-003,+0,+0
+1.173146966E-004,-2.905461957E-003,+0,+0
+1.173247829E-004,-2.875988065E-003,+0,+0
+1.172869734E-004,-2.863423293E-003,+0,+0
+1.173172011E-004,-2.856462327E-003,+0,+0
+1.172970934E-004,-2.857114811E-003,+0,+0
+1.172821395E-004,-2.851208965E-003,+0,+0
+1.172921729E-004,-2.837028418E-003,+0,+0
+1.172771541E-004,-2.841404560E-003,+0,+0
+1.172734987E-004,-2.798140943E-003,+0,+0
+1.172782793E-004,-2.801691601E-003,+0,+0
+1.172794407E-004,-2.782766282E-003,+0,+0
+1.172791944E-004,-2.773810185E-003,+0,+0
+1.172735320E-004,-2.755390876E-003,+0,+0
+1.172773434E-004,-2.750440182E-003,+0,+0
+1.172737161E-004,-2.738960106E-003,+0,+0
+1.172729541E-004,-2.720641334E-003,+0,+0
+1.172776250E-004,-2.719941643E-003,+0,+0
+1.172696571E-004,-2.714417165E-003,+0,+0
+1.172692423E-004,-2.700763303E-003,+0,+0
+1.172708856E-004,-2.691659796E-003,+0,+0
+1.172630704E-004,-2.685486327E-003,+0,+0
+1.172646257E-004,-2.675449250E-003,+0,+0
+1.172618101E-004,-2.663524807E-003,+0,+0
+1.172620661E-004,-2.665416453E-003,+0,+0
+1.172546327E-004,-2.631063458E-003,+0,+0
+1.172554520E-004,-2.616944257E-003,+0,+0
+1.172546284E-004,-2.611151939E-003,+0,+0
+1.172525609E-004,-2.595125526E-003,+0,+0
+1.172539002E-004,-2.568187275E-003,+0,+0
+1.172517780E-004,-2.551251022E-003,+0,+0
+1.172485670E-004,-2.534308463E-003,+0,+0
+1.172462952E-004,-2.518519677E-003,+0,+0
+1.172429403E-004,-2.511140197E-003,+0,+0
+1.172407221E-004,-2.475224516E-003,+0,+0
+1.172400894E-004,-2.452876148E-003,+0,+0
+1.172386675E-004,-2.432616723E-003,+0,+0
+1.172341874E-004,-2.409512339E-003,+0,+0
+1.172329798E-004,-2.376698239E-003,+0,+0
+1.172303857E-004,-2.398149456E-003,+0,+0
+1.172345384E-004,-2.371615370E-003,+0,+0
+1.172347761E-004,-2.352453851E-003,+0,+0
+1.172319110E-004,-2.327587541E-003,+0,+0
+1.172277560E-004,-2.291487275E-003,+0,+0
+1.172190246E-004,-2.265246633E-003,+0,+0
+1.172150165E-004,-2.218274488E-003,+0,+0
+1.172191830E-004,-2.206072003E-003,+0,+0
+1.172162654E-004,-2.174728066E-003,+0,+0
+1.172160193E-004,-2.127943726E-003,+0,+0
+1.172123559E-004,-2.084963437E-003,+0,+0
+1.172082954E-004,-2.076183745E-003,+0,+0
+1.172041262E-004,-1.979053334E-003,+0,+0
+1.172044551E-004,-1.970141670E-003,+0,+0
